Swardspeak,English_Meaning,Tagalog_Meaning
achay,follower/maid,alalay/taga-sunod
aketch,me,ako
akirachiramira,beautiful woman,maganda babae
akis,me,ako
alaska,to tease,lokohin/asarin/tuksuhin
Alicia Keys,let's go,Tara na
alipores,follower/maid,alalay/taga-sunod
amats,correct/right,tama
Ana,traitor,traydor/ahas
Anaconda,traitor,traydor/ahas
anakis,child/offspring,anak
anech,what,ano
anekwaboom,what,ano
anetchewa,what,ano
anio purdoy,money,pera
anjenet,so hot,ang init
Antibiotic,disagreeable person/unfriendly person,antipatika
antokyo Japan,sleepy,inaantok
atak,to go,umalis
ateng,sister,ate/matandang kapatid na babae
atip,money,pera
atsay,follower/maid,alalay/taga-sunod
award,a negative connotation such as committing a mistake or getting scolded instead of its original meaning of being honored or getting singular distinction for doing something good,napagalitan
awra,to slay/spotlight,magpapansin
ayberry,eye,mata
babaita,a girl/woman,babae
baboo,goodbye,paalam
baboosh,goodbye,paalam
babush,goodbye,paalam
badaf,a gay,bakla
badiday,a girl/woman,babae
bading,a gay,bakla
badobels,unfashionable,baduy
bagets,young child,bata
Bahamas,flood,baha
bakluh,a gay,bakla
balay,house,bahay
batuta,young child,bata
bayot,a gay,bakla
bebot,a girl/woman,babae
bekels,a girl/woman,babae
beki,a gay,bakla
beklabu,a gay,bakla
beklalu,a gay,bakla
bektas,a gay,bakla
berde,a gay,bakla
besh,a close friend/bestfriend,malapit na kaibigan
beybi,boy/male,lalaki
bongga,extravagant,enggrande
booking,refers to a date that may or may not (but most likely will) end up in a non-PG situation,may service
borlog,to sleep,matulog
boso-mitai,ugly,pangit
bowa,boyfriend/girlfriend,karelasyong lalaki/babae
boylet,boy/male,lalaki
bread,money,pera
bugarou,cigarette,sigarilyo
buko,young child,bata
butata,loser/defeated,talo/talunan
Ces Drilon,to be stressed,sakit sa ulo
ChaCarmen,ugly,pangit
chaka,ugly,pangit
ChaKarina Sanchez,ugly,pangit
chamit,ugly,pangit
Chanda Romero,old person,matanda
charing,just kidding,biro lang
charot,just kidding,biro lang
chaw,to eat,kumain
check,okay,okay lang
chenes,This is a word filler only that is most used as expressions,ekspresyon na salita
chever,This is a word filler only that is most used as expressions,ekspresyon na salita
cheverlu,to go,umalis
chibog,to eat,kumain
chichi,to eat,kumain
chicks,a girl/woman,babae
chika,gossip,mga usapin/tsismis
chikadora,gossiper,tsismosa
chimay,follower/maid,alalay/taga-sunod
chimea,follower/maid,alalay/taga-sunod
chipipay,unfashionable,baduy
chiquito,small,maliit
chisay,small,maliit
chismakers,gossiper,tsismosa
chismaks,gossip,mga usapin/tsismis
chocolate,black complexion,maitim na kulay
choks,just kidding,biro lang
churchill,posh,sosyal pumorma/manamit
churva,This is a word filler only that is most used as expressions,ekspresyon na salita
chuva,This is a word filler only that is most used as expressions,ekspresyon na salita
crayola,cry,iyak
dabarkads,call for a friend,tawag sa kaibigan
datung,money,pera
dead-warak,dead,patay
Debbie Gibson,to give,magbigay
ded,dead,patay
dedbol,dead,patay
dedo,dead,patay
dehins,no/not/nope,hindi
dorobo,thief,magnanakaw
Duty Free,small,maliit
dyologs,unfashionable,baduy
dyosa,beautiful woman,maganda babae
dyowa,boyfriend/girlfriend,karelasyong lalaki/babae
echoserang palaka,liar,sinungaling
echoz,just kidding,biro lang
eclavu,just kidding,biro lang
eda,money,pera
ekis,rejected/not allowed,hindi pwede
Elsa,lascivious,malibog
eltanggo,loan,utang
engga,drunk,lasing
epek,handsome,May itsura/gwapo
ermat,mother,ina/nanay
erna,poop,tae
erpat,father,ama/tatay
fez,face,mukha
fez,handsome man,gwapong lalaki
fireworks,fetid armpit,mabaho ang kili-kili
fly,to leave,alis
fudang,food,pagkain
Gandara Park,beautiful,Maganda
getsung,get,pakuha/paabot
gibsung,to give,magbigay
Girlalu,a person who is very much femining in actuations,babaeng-babae
girlash,a girl/woman,babae
Girlie Rodis,a girl/woman,babae
girlilay,a girl/woman,babae
girlita,a girl/woman,babae
givenchy,to give,magbigay
gora,to go,umalis
gorabells,to go,umalis
gorabels,to go,umalis
Granny Gudsa,old person,matanda
guramelyas,old person,matanda
gurangets,old person,matanda
hada,blowjob,tsupa
Hagarado Versoza,A person who is very tired and look like ugly,hapis na pangit pa
Hagardina,a person who is very tired but still beautiful,taong labis ng pagod ngunit nananatiling maganda
hanash,"An event, problem, or anything else that is happening right now",kasalukuyang pangyayari
Hardashian,hard,matigas
havey,to have,magkaroon
haway,fifty,limampu
high ball,house,bahay
hip-hap-du-dung,unfashionable,baduy
Hitachi,flirty,malandi
hitad,flirty,malandi
Housing project,house,bahay
imberna,pissed,nakakaasar/nakakainis
imbudo,pissed,nakakaasar/nakakainis
in fairness,that's true,Tunay/pag sang-ayon
inalaska,to tease,lokohin/asarin/tuksuhin
